当前数据库信息：
jdbc:oracle:thin:@192.168.10.106:1521:orcl, scjm2, scjm2
==================


1、数据库实例信息

startup_time, instance_name, host_name, version

2015-11-30, orcl, localhost.localdomain, 11.2.0.3.0


2、安装环境信息

version_time, database_role, resetlogs_change#, open_resetlogs, protection_level, standby_became_primary_scn, db_unique_name, supplemental_log_data_fk, archive_change#, activation#, platform_id, platform_name, created, controlfile_type, name, log_mode, dbid, current_scn, controlfile_time, flashback_on, fs_failover_status, supplemental_log_data_min, dataguard_broker, supplemental_log_data_all, archivelog_change#, controlfile_converted, guard_status, controlfile_change#, resetlogs_time, supplemental_log_data_pl, supplemental_log_data_pk, archivelog_compression, last_open_incarnation#, switchover_status, checkpoint_change#, recovery_target_incarnation#, protection_mode, open_mode, remote_archive, prior_resetlogs_time, supplemental_log_data_ui, fs_failover_threshold, force_logging, controlfile_sequence#, switchover#, prior_resetlogs_change#, controlfile_created

2014-07-09, PRIMARY, 995548, NOT ALLOWED, UNPROTECTED, 0, orcl, NO, 43050866, 1380247339, 13, Linux x86 64-bit, 2014-07-09, CURRENT, ORCL, NOARCHIVELOG, 1380260907, 43110179, 2016-01-15, NO, DISABLED, NO, DISABLED, NO, 0, NO, NONE, 43110154, 2014-07-09, NO, NO, DISABLED, 2, NOT ALLOWED, 43091204, 2, MAXIMUM PERFORMANCE, READ WRITE, ENABLED, 2011-09-17, NO, 0, NO, 222131, 1380247339, 1, 2014-07-09


3、数据库产品信息

product, status, version

NLSRTL, Production, 11.2.0.3.0

Oracle Database 11g Enterprise Edition, 64bit Production, 11.2.0.3.0

PL/SQL, Production, 11.2.0.3.0

TNS for Linux:, Production, 11.2.0.3.0


4、数据库安装配置信息

parameter, value

Partitioning, TRUE

Objects, TRUE

Real Application Clusters, FALSE

Advanced replication, TRUE

Bit-mapped indexes, TRUE

Connection multiplexing, TRUE

Connection pooling, TRUE

Database queuing, TRUE

Incremental backup and recovery, TRUE

Instead-of triggers, TRUE

Parallel backup and recovery, TRUE

Parallel execution, TRUE

Parallel load, TRUE

Point-in-time tablespace recovery, TRUE

Fine-grained access control, TRUE

Proxy authentication/authorization, TRUE

Change Data Capture, TRUE

Plan Stability, TRUE

Online Index Build, TRUE

Coalesce Index, TRUE

Managed Standby, TRUE

Materialized view rewrite, TRUE

Database resource manager, TRUE

Spatial, TRUE

Automatic Storage Management, FALSE

Export transportable tablespaces, TRUE

Transparent Application Failover, TRUE

Fast-Start Fault Recovery, TRUE

Sample Scan, TRUE

Duplexed backups, TRUE

Java, TRUE

OLAP Window Functions, TRUE

Block Media Recovery, TRUE

Fine-grained Auditing, TRUE

Application Role, TRUE

Enterprise User Security, TRUE

Oracle Data Guard, TRUE

Oracle Label Security, TRUE

OLAP, TRUE

Basic Compression, TRUE

Join index, TRUE

Trial Recovery, TRUE

Data Mining, TRUE

Online Redefinition, TRUE

Streams Capture, TRUE

File Mapping, TRUE

Block Change Tracking, TRUE

Flashback Table, TRUE

Flashback Database, TRUE

Transparent Data Encryption, TRUE

Backup Encryption, TRUE

Unused Block Compression, TRUE

Oracle Database Vault, TRUE

Result Cache, TRUE

SQL Plan Management, TRUE

SecureFiles Encryption, TRUE

Real Application Testing, TRUE

Flashback Data Archive, TRUE

DICOM, TRUE

Active Data Guard, TRUE

Server Flash Cache, TRUE
